"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Lance McCullers Jr.","Astros","7","4","0","22","22","118.2","10.01","3.03","0.61",".330","67.6 %","61.3 %","12.7 %","4.25","3.10","3.17","2.9","14120"
"Jose Berrios","Twins","13","8","0","25","25","144.1","8.61","2.99","0.94",".288","70.4 %","39.0 %","9.3 %","3.93","3.86","4.51","2.8","14168"
"Trevor Bauer","Indians","17","9","0","31","31","175.2","9.99","3.07","1.28",".336","76.7 %","46.6 %","16.2 %","4.20","3.90","3.61","2.8","12703"
"Yu Darvish","Rangers","6","9","0","22","22","137.0","9.72","2.96","1.31",".275","74.5 %","40.8 %","15.0 %","4.01","3.99","3.82","2.8","13074"
"J.A. Happ","Blue Jays","10","11","0","25","25","145.1","8.79","2.85","1.11",".302","76.6 %","46.9 %","12.3 %","3.53","3.76","3.94","2.8","7410"
"Masahiro Tanaka","Yankees","13","12","0","30","30","178.1","9.79","2.07","1.77",".305","71.5 %","49.2 %","21.2 %","4.74","4.34","3.44","2.7","15764"
"Zach Davies","Brewers","17","9","0","33","33","191.1","5.83","2.59","0.94",".302","74.2 %","50.2 %","12.0 %","3.90","4.22","4.42","2.7","13183"
"German Marquez","Rockies","11","7","0","29","29","162.0","8.17","2.72","1.39",".316","76.0 %","45.2 %","15.4 %","4.39","4.40","4.18","2.7","15038"
"Tanner Roark","Nationals","13","11","0","30","30","175.1","8.32","3.23","1.13",".300","66.9 %","48.5 %","13.4 %","4.57","4.12","4.15","2.7","8753"
"Jordan Montgomery","Yankees","9","7","0","29","29","155.1","8.34","2.95","1.22",".275","73.8 %","40.7 %","11.2 %","3.88","4.07","4.45","2.6","16511"
"Dylan Bundy","Orioles","13","9","0","28","28","169.2","8.06","2.71","1.38",".273","73.7 %","32.8 %","11.5 %","4.24","4.38","4.77","2.5","12917"
"Jake Arrieta","Cubs","14","10","0","30","30","168.1","8.71","2.94","1.23",".279","72.8 %","45.1 %","14.0 %","3.53","4.16","4.11","2.5","4153"
"Kyle Hendricks","Cubs","7","5","0","24","24","139.2","7.93","2.58","1.10",".281","82.5 %","50.1 %","14.8 %","3.03","3.88","3.76","2.5","12049"
"Marco Estrada","Blue Jays","10","9","0","33","33","186.0","8.52","3.44","1.50",".295","71.9 %","30.3 %","11.2 %","4.98","4.61","5.09","2.5","1118"
"Trevor Williams","Pirates","6","8","0","25","25","138.2","6.94","2.92","0.78",".291","71.7 %","49.8 %","9.8 %","3.96","3.91","4.35","2.4","16977"
"Taijuan Walker","Diamondbacks","9","9","0","28","28","157.1","8.35","3.49","0.97",".290","73.1 %","48.9 %","11.3 %","3.49","4.04","4.34","2.4","11836"
"Jason Hammel","Royals","8","13","0","32","32","180.1","7.24","2.40","1.30",".318","68.4 %","38.0 %","10.6 %","5.29","4.37","4.92","2.4","4538"
"Andrew Cashner","Rangers","11","11","0","28","28","166.2","4.64","3.46","0.81",".266","74.0 %","48.6 %","8.6 %","3.40","4.61","5.30","2.4","8782"
"Martin Perez","Rangers","13","12","0","32","32","185.0","5.59","3.06","1.12",".328","70.6 %","47.3 %","13.3 %","4.82","4.65","4.70","2.3","6902"
"Dallas Keuchel","Astros","14","5","0","23","23","145.2","7.72","2.90","0.93",".256","79.9 %","66.8 %","21.1 %","2.90","3.79","3.32","2.3","9434"
"Kevin Gausman","Orioles","11","12","0","34","34","186.2","8.63","3.42","1.40",".336","76.0 %","42.7 %","14.8 %","4.68","4.48","4.33","2.3","14107"
"Alex Cobb","Rays","12","10","0","29","29","179.1","6.42","2.21","1.10",".282","75.7 %","47.8 %","13.0 %","3.66","4.16","4.24","2.3","6562"
"Mike Clevinger","Indians","11","4","0","21","21","114.0","9.95","4.26","0.87",".269","80.4 %","39.6 %","10.7 %","2.84","3.70","4.05","2.2","12808"
"Sonny Gray","Athletics","6","5","0","16","16","97.0","8.72","2.78","0.74",".285","64.6 %","56.7 %","13.1 %","3.43","3.25","3.30","2.2","12768"
"Rich Hill","Dodgers","12","8","0","25","25","135.2","11.01","3.25","1.19",".261","80.4 %","36.9 %","12.5 %","3.32","3.72","3.88","2.2","4806"
"Jhoulys Chacin","Padres","13","10","0","32","32","180.1","7.64","3.59","0.95",".272","74.4 %","49.1 %","11.4 %","3.89","4.26","4.54","2.2","2608"
"Sean Manaea","Athletics","12","10","0","29","29","158.2","7.94","3.12","1.02",".318","69.6 %","44.1 %","10.6 %","4.37","4.10","4.53","2.2","15873"
"Matthew Boyd","Tigers","6","11","0","25","25","133.2","7.27","3.43","1.21",".329","68.7 %","37.9 %","10.6 %","5.25","4.50","5.02","2.2","15440"
"Josh Tomlin","Indians","10","9","0","26","26","141.0","6.96","0.89","1.47",".329","68.5 %","39.6 %","13.7 %","4.98","4.12","4.11","2.1","9388"
"Jose Quintana","Cubs","7","3","0","14","14","84.1","10.46","2.24","0.96",".300","72.4 %","47.2 %","13.8 %","3.74","3.25","3.24","2.1","11423"
"Kyle Freeland","Rockies","11","11","0","28","28","149.2","5.95","3.67","1.02",".307","74.9 %","54.6 %","13.1 %","4.15","4.69","4.76","2.1","16256"
"Ivan Nova","Pirates","11","14","0","31","31","187.0","6.30","1.73","1.40",".299","73.0 %","45.7 %","15.8 %","4.14","4.46","4.19","2.1","1994"
"Dan Straily","Marlins","10","9","0","33","33","181.2","8.42","2.97","1.54",".288","76.4 %","34.2 %","13.0 %","4.26","4.58","4.70","2.1","9460"
"Chad Kuhl","Pirates","8","11","0","31","31","157.1","8.12","4.12","0.97",".321","73.2 %","41.9 %","10.8 %","4.35","4.24","4.61","2.1","14975"
"Brandon McCarthy","Dodgers","6","4","0","16","16","86.2","6.85","2.60","0.52",".297","68.9 %","42.6 %","5.7 %","3.84","3.35","4.39","2.0","4662"
"Danny Salazar","Indians","5","6","0","19","19","97.1","12.76","3.98","1.29",".346","73.7 %","39.3 %","16.9 %","4.44","3.61","3.26","2.0","5867"
"Jerad Eickhoff","Phillies","4","8","0","24","24","128.0","8.30","3.73","1.13",".328","71.0 %","37.6 %","10.2 %","4.71","4.30","4.86","2.0","12664"
"Clayton Richard","Padres","8","15","0","32","32","197.1","6.89","2.69","1.09",".351","70.6 %","59.2 %","19.4 %","4.79","4.23","3.76","2.0","3551"
"Jose Quintana","White Sox","4","8","0","18","18","104.1","9.40","3.45","1.21",".301","70.6 %","42.9 %","12.8 %","4.49","4.02","4.13","2.0","11423"
"Rick Porcello","Red Sox","11","17","0","33","33","203.1","8.01","2.12","1.68",".324","69.7 %","39.2 %","14.7 %","4.65","4.60","4.43","1.9","2717"
"Jason Vargas","Royals","18","11","0","32","32","179.2","6.71","2.91","1.35",".289","77.6 %","40.3 %","12.1 %","4.16","4.67","4.94","1.9","8044"
"Luis Castillo","Reds","3","7","0","15","15","89.1","9.87","3.22","1.11",".247","80.1 %","58.8 %","17.2 %","3.12","3.74","3.41","1.9","15689"
"Eduardo Rodriguez","Red Sox","6","7","0","24","24","136.1","9.77","3.30","1.25",".300","74.5 %","34.8 %","11.8 %","4.22","4.01","4.30","1.9","13164"
"CC Sabathia","Yankees","14","5","0","27","27","148.2","7.26","3.03","1.27",".276","79.0 %","49.9 %","17.2 %","3.69","4.49","4.11","1.9","404"
"Cole Hamels","Rangers","11","6","0","24","24","148.0","6.39","3.22","1.09",".251","70.2 %","47.5 %","12.1 %","4.20","4.62","4.83","1.8","4972"
"Blake Snell","Rays","5","7","0","24","24","129.1","8.28","4.11","1.04",".277","70.9 %","43.9 %","11.0 %","4.04","4.19","4.56","1.8","13543"
"Mike Leake","Cardinals","7","12","0","26","26","154.0","6.02","2.05","1.11",".306","69.4 %","54.5 %","16.0 %","4.21","4.24","4.01","1.7","10130"
"Seth Lugo","Mets","7","5","0","18","18","98.1","7.51","2.20","1.10",".329","67.7 %","41.8 %","11.4 %","4.76","3.87","4.18","1.7","12447"
"Miguel Gonzalez","White Sox","7","10","0","22","22","133.2","5.72","3.16","1.08",".296","71.4 %","37.3 %","8.4 %","4.31","4.59","5.56","1.6","7024"
"Madison Bumgarner","Giants","4","9","0","17","17","111.0","8.19","1.62","1.38",".272","82.8 %","40.8 %","12.9 %","3.32","3.95","4.07","1.6","5524"
"Kenta Maeda","Dodgers","12","6","0","25","25","126.1","9.26","2.35","1.50",".276","70.7 %","37.5 %","15.2 %","4.35","4.14","3.92","1.6","18498"
"Luis Perdomo","Padres","8","11","0","29","29","163.2","6.49","3.57","0.93",".325","68.3 %","61.8 %","15.6 %","4.67","4.40","4.24","1.6","14682"
"Mike Foltynewicz","Braves","10","13","0","28","28","152.0","8.23","3.49","1.13",".322","72.5 %","39.4 %","11.4 %","4.74","4.32","4.64","1.6","10811"
"Daniel Norris","Tigers","5","8","0","18","18","94.2","7.80","3.80","1.05",".346","68.8 %","39.6 %","9.6 %","5.23","4.30","4.95","1.5","13475"
"Sal Romano","Reds","5","8","0","16","16","87.0","7.55","3.83","0.93",".314","69.5 %","50.4 %","11.7 %","4.45","4.24","4.47","1.5","13690"
"Adam Wainwright","Cardinals","12","5","0","23","23","121.1","7.12","3.26","1.04",".325","68.5 %","47.8 %","13.2 %","5.12","4.29","4.34","1.4","2233"
"Noah Syndergaard","Mets","1","2","0","7","7","30.1","10.09","0.89","0.00",".337","57.6 %","57.6 %","0.0 %","2.97","1.31","2.48","1.4","11762"
"Dinelson Lamet","Padres","7","8","0","21","21","114.1","10.94","4.25","1.42",".261","69.2 %","37.1 %","14.8 %","4.57","4.35","4.20","1.4","17186"
"Rafael Montero","Mets","5","8","0","18","18","95.2","8.37","4.52","0.85",".358","71.8 %","48.0 %","9.9 %","5.08","4.18","4.65","1.4","12760"
"Brent Suter","Brewers","3","2","0","14","14","70.1","6.91","2.05","1.02",".294","77.8 %","46.3 %","12.1 %","3.45","3.83","4.02","1.4","13942"
"Luke Weaver","Cardinals","7","2","0","10","10","55.1","11.22","2.28","1.14",".338","71.4 %","50.7 %","17.9 %","4.23","3.12","2.73","1.3","16918"
"Jeff Hoffman","Rockies","6","5","0","16","16","90.1","7.07","3.29","1.30",".294","68.0 %","42.9 %","11.7 %","5.28","4.69","5.00","1.3","17432"
"Jordan Zimmermann","Tigers","8","13","0","29","29","160.0","5.79","2.48","1.63",".330","67.2 %","33.2 %","12.5 %","6.08","5.18","5.41","1.3","4505"
"Jake Faria","Rays","5","4","0","14","14","81.2","8.71","3.42","1.10",".274","79.1 %","39.5 %","11.4 %","3.42","4.14","4.46","1.3","13699"
"R.A. Dickey","Braves","10","10","0","31","31","190.0","6.44","3.17","1.23",".290","73.2 %","46.9 %","13.2 %","4.26","4.72","4.79","1.3","1245"
"Jaime Garcia","Braves","4","7","0","18","18","113.0","6.77","3.27","0.96",".287","69.1 %","55.4 %","13.0 %","4.30","4.15","4.22","1.3","8137"
"Trevor Cahill","Padres","4","3","0","11","11","61.0","10.62","3.54","0.89",".329","73.1 %","56.8 %","14.3 %","3.69","3.40","3.35","1.3","6249"
"Ty Blach","Giants","8","12","0","24","24","149.2","4.21","2.10","1.02",".295","66.4 %","47.2 %","10.5 %","4.81","4.40","4.85","1.3","14361"
"Nick Pivetta","Phillies","8","10","0","26","26","133.0","9.47","3.86","1.69",".332","67.1 %","43.8 %","18.2 %","6.02","4.87","4.26","1.3","15454"
"Lance Lynn","Cardinals","11","8","0","33","33","186.1","7.39","3.77","1.30",".244","79.0 %","44.0 %","14.2 %","3.43","4.82","4.75","1.3","2520"
"Mike Leake","Mariners","3","1","0","5","5","32.0","7.59","0.56","0.28",".323","75.1 %","49.5 %","3.6 %","2.53","2.25","3.40","1.2","10130"
"Tyler Chatwood","Rockies","8","14","0","25","25","136.1","7.20","4.69","1.25",".283","72.7 %","57.2 %","22.4 %","4.75","4.98","4.27","1.2","4338"
"Doug Fister","Red Sox","5","7","0","15","15","84.0","8.46","3.64","0.96",".300","64.2 %","52.1 %","13.4 %","4.71","3.99","4.02","1.2","9425"
"Johnny Cueto","Giants","8","8","0","25","25","147.1","8.31","3.24","1.34",".322","75.7 %","39.4 %","14.0 %","4.52","4.49","4.45","1.2","6893"
"Kyle Gibson","Twins","12","10","0","29","29","158.0","6.89","3.42","1.37",".328","72.3 %","50.8 %","18.3 %","5.07","4.85","4.35","1.2","10123"
"Jesse Hahn","Athletics","3","6","0","13","13","63.2","7.35","3.68","0.57",".327","59.3 %","46.1 %","6.9 %","5.51","3.71","4.51","1.2","13287"
"Mike Montgomery","Cubs","5","5","0","14","14","69.1","7.27","2.73","0.91",".258","68.3 %","59.2 %","13.0 %","4.15","3.94","4.01","1.1","4869"
"Kendall Graveman","Athletics","6","4","0","19","19","105.1","5.98","2.73","1.03",".313","75.1 %","51.2 %","12.0 %","4.19","4.33","4.54","1.1","15514"
"Jakob Junis","Royals","7","3","0","16","16","93.0","7.06","1.94","1.35",".289","72.5 %","40.5 %","11.9 %","4.16","4.45","4.75","1.1","13619"
"Collin McHugh","Astros","5","2","0","12","12","63.1","8.81","2.84","0.99",".311","77.7 %","32.8 %","8.6 %","3.55","3.82","4.66","1.1","7531"
"Michael Pineda","Yankees","8","4","0","17","17","96.1","8.60","1.96","1.87",".302","72.5 %","50.9 %","22.5 %","4.39","4.66","3.61","1.1","5372"
"Adalberto Mejia","Twins","4","7","0","21","21","98.0","7.81","4.04","1.19",".328","76.0 %","39.3 %","11.2 %","4.50","4.65","5.03","1.1","13188"
"Joe Biagini","Blue Jays","2","12","0","18","18","88.0","7.16","3.07","1.23",".315","59.2 %","55.2 %","14.8 %","5.73","4.36","4.23","1.1","13194"
"Anibal Sanchez","Tigers","3","7","0","17","17","84.1","8.75","2.13","1.81",".348","70.3 %","36.8 %","17.0 %","5.76","4.69","4.18","1.1","3284"
"Tyler Anderson","Rockies","5","6","0","15","15","81.0","8.22","2.78","1.78",".308","71.7 %","43.0 %","20.3 %","5.11","4.90","4.07","1.1","12880"
"Antonio Senzatela","Rockies","10","5","0","20","20","111.0","6.41","3.16","1.46",".292","70.8 %","48.7 %","18.4 %","5.03","5.00","4.47","1.1","15488"
"David Price","Red Sox","5","3","0","11","11","66.0","8.59","3.00","1.09",".287","75.5 %","40.8 %","10.7 %","3.82","4.01","4.45","1.0","3184"
"Justin Verlander","Astros","5","0","0","5","5","34.0","11.38","1.32","1.06",".194","100.0 %","32.4 %","11.8 %","1.06","2.69","2.94","1.0","8700"
"Yu Darvish","Dodgers","4","3","0","9","9","49.2","11.05","2.36","1.27",".308","78.8 %","40.7 %","15.2 %","3.44","3.38","3.19","1.0","13074"
"Sean Newcomb","Braves","4","9","0","19","19","100.0","9.72","5.13","0.90",".327","75.2 %","43.8 %","10.9 %","4.32","4.19","4.52","1.0","16943"
"JC Ramirez","Angels","9","10","0","24","24","142.1","6.45","2.97","1.26",".290","75.5 %","51.4 %","15.0 %","4.11","4.67","4.50","1.0","8302"
"Luiz Gohara","Braves","1","3","0","5","5","29.1","9.51","2.45","0.61",".366","61.8 %","35.4 %","5.6 %","4.91","2.75","4.05","1.0","15166"
"Edinson Volquez","Marlins","4","8","0","17","17","92.1","7.90","5.17","0.78",".278","71.7 %","45.8 %","9.9 %","4.19","4.35","4.78","0.9","3990"
"Matt Moore","Giants","6","15","0","31","31","172.1","7.68","3.50","1.41",".321","66.8 %","37.4 %","11.7 %","5.59","4.78","5.12","0.9","1890"
"Robert Stephenson","Reds","5","4","0","11","11","58.0","8.69","5.59","0.78",".276","73.1 %","38.2 %","8.3 %","3.41","4.26","4.98","0.9","13594"
"Garrett Richards","Angels","0","2","0","6","6","27.2","8.78","2.28","0.33",".233","72.0 %","54.2 %","4.8 %","2.28","2.43","3.32","0.9","9784"
"Ben Lively","Phillies","4","7","0","15","15","88.2","5.28","2.44","1.32",".280","74.2 %","38.2 %","10.4 %","4.26","4.97","5.58","0.9","14932"
"Scott Feldman","Reds","7","7","0","21","21","111.1","7.52","2.83","1.70",".300","74.5 %","42.8 %","21.4 %","4.77","5.04","4.16","0.9","6283"
"Alex Meyer","Angels","4","5","0","13","13","67.1","10.02","5.61","0.80",".255","74.8 %","46.5 %","11.3 %","3.74","4.14","4.38","0.8","12833"
"Matt Garza","Brewers","6","9","0","22","22","112.0","6.19","3.62","1.37",".290","66.1 %","40.5 %","12.6 %","5.06","4.99","5.16","0.8","3340"
"Homer Bailey","Reds","6","9","0","18","18","91.0","6.63","4.15","1.09",".346","64.8 %","44.6 %","13.1 %","6.43","4.90","4.98","0.8","8362"
"Parker Bridwell","Angels","10","3","0","20","20","117.1","5.52","2.30","1.46",".253","78.9 %","37.8 %","12.4 %","3.76","4.90","5.12","0.8","11502"
"Julio Teheran","Braves","11","13","0","32","32","188.1","7.22","3.44","1.48",".281","73.1 %","40.0 %","13.7 %","4.49","4.95","4.96","0.8","6797"
"Tyler Skaggs","Angels","2","6","0","16","16","85.0","8.05","2.96","1.38",".318","73.7 %","41.8 %","14.1 %","4.55","4.56","4.49","0.8","10190"
"Randall Delgado","Diamondbacks","0","1","0","5","5","25.0","8.64","1.80","0.72",".338","80.9 %","45.6 %","11.8 %","2.52","2.88","3.05","0.7","5985"
"Francisco Liriano","Blue Jays","6","5","0","18","18","82.2","8.06","4.68","1.20",".327","65.5 %","43.4 %","11.7 %","5.88","4.73","5.02","0.7","3201"
"Odrisamer Despaigne","Marlins","2","3","0","8","8","44.1","4.67","3.65","0.41",".268","62.5 %","37.6 %","3.5 %","4.06","4.06","5.76","0.7","16017"
"Eddie Butler","Cubs","4","3","0","11","11","51.1","5.08","4.73","0.53",".272","75.2 %","44.4 %","5.6 %","3.86","4.48","5.59","0.7","13453"
"Carlos Rodon","White Sox","2","5","0","12","12","69.1","9.87","4.02","1.56",".297","77.6 %","44.1 %","19.0 %","4.15","4.69","4.05","0.6","16137"
"Reynaldo Lopez","White Sox","3","3","0","8","8","47.2","5.66","2.64","1.32",".271","64.6 %","30.2 %","9.0 %","4.72","4.75","5.75","0.6","16400"
"Andrew Triggs","Athletics","5","6","0","12","12","65.1","6.89","2.62","1.24",".294","62.5 %","49.8 %","13.2 %","4.27","4.47","4.53","0.6","13533"
"Sonny Gray","Yankees","4","7","0","11","11","65.1","8.13","3.72","1.52",".246","77.3 %","47.3 %","16.9 %","3.72","4.87","4.45","0.6","12768"
"Brett Anderson","Blue Jays","2","2","0","7","7","33.1","5.94","2.43","0.81",".340","66.2 %","48.6 %","10.7 %","5.13","3.82","4.14","0.6","8223"
"Paul Blackburn","Athletics","3","1","0","10","10","58.2","3.38","2.45","0.77",".273","77.9 %","56.3 %","10.2 %","3.22","4.38","4.76","0.6","14739"
"Wade Miley","Orioles","8","15","0","32","32","157.1","8.12","5.32","1.43",".332","71.4 %","50.3 %","19.4 %","5.61","5.27","4.66","0.6","8779"
"Matt Cain","Giants","3","11","0","23","23","119.1","5.51","3.32","1.21",".326","68.0 %","41.8 %","11.4 %","5.05","4.81","5.15","0.6","4732"
"Daniel Mengden","Athletics","3","2","0","7","7","43.0","6.07","1.88","1.26",".240","79.2 %","39.2 %","11.1 %","3.14","4.25","4.67","0.6","16980"
"Andrew Albers","Mariners","4","1","0","6","6","31.1","7.18","2.01","1.15",".300","68.7 %","34.0 %","10.0 %","3.16","3.99","4.60","0.6","7853"
"Brandon Woodruff","Brewers","2","3","0","8","8","43.0","6.70","2.93","1.05",".292","69.8 %","47.4 %","11.1 %","4.81","4.37","4.72","0.6","16162"
"Chris Stratton","Giants","4","3","0","10","10","51.1","7.71","4.38","0.88",".299","83.8 %","40.9 %","11.1 %","2.98","4.23","4.52","0.5","13761"
"Ryan Merritt","Indians","2","0","0","4","4","19.2","3.20","1.83","0.00",".338","79.3 %","54.1 %","0.0 %","1.83","3.06","4.41","0.5","13688"
"John Lackey","Cubs","12","11","0","30","30","169.2","7.85","2.81","1.91",".266","76.6 %","41.4 %","18.3 %","4.56","5.32","4.63","0.5","1507"
"Chad Bettis","Rockies","2","4","0","9","9","46.1","5.83","2.14","1.55",".293","70.1 %","48.4 %","16.0 %","5.05","4.88","4.56","0.5","10587"
"Erasmo Ramirez","Mariners","1","3","0","11","11","62.0","7.84","2.18","1.74",".257","74.7 %","37.3 %","15.2 %","3.92","4.71","4.46","0.5","10314"
"Joe Ross","Nationals","5","3","0","13","13","73.2","8.31","2.44","1.95",".330","75.1 %","37.5 %","18.8 %","5.01","4.99","4.22","0.5","12972"
"Matt Andriese","Rays","5","5","0","17","17","83.0","8.24","2.93","1.73",".304","73.8 %","44.3 %","18.0 %","4.66","4.95","4.35","0.5","12022"
"Hyun-Jin Ryu","Dodgers","5","9","0","24","24","122.2","8.36","3.23","1.61",".303","81.0 %","44.0 %","18.8 %","3.89","4.80","4.17","0.5","14444"
"Ricky Nolasco","Angels","6","15","0","33","33","181.0","7.11","2.88","1.74",".310","75.6 %","40.1 %","15.6 %","4.92","5.10","4.79","0.5","3830"
"Nathan Karns","Royals","2","2","0","8","8","44.2","9.87","2.22","1.81",".270","88.8 %","49.6 %","20.0 %","3.43","4.46","3.63","0.5","12638"
"Robert Gsellman","Mets","8","7","0","22","22","115.2","6.07","3.19","1.32",".300","62.2 %","49.5 %","14.9 %","5.29","4.99","4.83","0.5","13696"
"Shelby Miller","Diamondbacks","2","2","0","4","4","22.0","8.18","4.91","0.41",".288","71.9 %","43.9 %","4.3 %","4.09","3.57","4.84","0.4","10197"
"Jeremy Hellickson","Phillies","6","5","0","20","20","112.1","5.21","2.40","1.76",".255","73.2 %","35.1 %","14.4 %","4.73","5.51","5.38","0.4","4371"
"Nick Martinez","Rangers","3","8","0","18","18","99.2","5.42","2.17","2.08",".265","66.1 %","41.3 %","18.4 %","5.69","5.74","4.97","0.4","12730"
"Gabriel Ynoa","Orioles","1","3","0","4","4","20.0","5.85","2.25","0.90",".317","67.5 %","44.4 %","8.0 %","4.50","4.06","4.98","0.4","12938"
"Felix Hernandez","Mariners","6","5","0","16","16","86.2","8.10","2.70","1.77",".286","76.4 %","46.9 %","22.4 %","4.36","5.02","4.03","0.4","4772"
